  283 R     8.2023 0.1   5.2483 0.1 
   99 G1    2.9510 0.1   3.2066 0.1 
  198 G3    2.6748 0.1   7.9078 0.1 
  238 G1    3.1766 0.1   2.9460 0.1 
  447 G1    2.8224 0.1   3.0213 0.1 
  415 R     1.2475 0.1   4.1704 0.1 
  187 R     7.5433 0.1   2.0032 0.1 
  190 G3    2.6772 0.1   6.8620 0.1 
  116 G2    5.7749 0.1   5.6251 0.1 
  283 G2    6.9133 0.1   5.2459 0.1 
  443 G3    3.4571 0.1   8.4448 0.1 
  449 G3    2.6611 0.1   6.8935 0.1 
   54 R     6.3745 0.1   5.1882 0.1 
  493 R     9.3970 0.1   0.8224 0.1 
  483 G1    3.0199 0.1   2.7320 0.1 
  315 G2    6.9369 0.1   5.0897 0.1 
   37 G3    2.8902 0.1   7.7704 0.1 
  229 R     3.2568 0.1   0.3434 0.1 
  158 G3    2.6187 0.1   7.8612 0.1 
  377 G3    3.0731 0.1   8.3824 0.1 
  155 G1    2.1729 0.1   3.0465 0.1 
  231 G2    6.0100 0.1   5.8544 0.1 
  178 G2    6.5264 0.1   5.2293 0.1 
  143 G2    6.1734 0.1   4.8452 0.1 
   24 G3    3.3540 0.1   8.6142 0.1 
  110 G1    2.9152 0.1   2.7444 0.1 
  250 G1    3.2027 0.1   2.6912 0.1 
  476 G1    3.6776 0.1   2.9952 0.1 
   13 G2    7.2738 0.1   4.5749 0.1 
  227 G2    7.0871 0.1   4.9322 0.1 
  139 G2    7.3045 0.1   4.6797 0.1 
  198 R     6.7599 0.1   5.3741 0.1 
  358 G3    4.8996 0.1   8.6191 0.1 
  152 G2    7.7642 0.1   3.7519 0.1 
  179 G3    2.5169 0.1   8.0474 0.1 
  100 G3    4.0498 0.1   8.2553 0.1 
  374 G1    2.8860 0.1   2.6421 0.1 
  287 R     5.7768 0.1   9.7993 0.1 
   66 R     9.4375 0.1   9.7252 0.1 
  293 R     2.5596 0.1   4.5516 0.1 
  271 R     8.2228 0.1   7.9756 0.1 
  459 G2    6.9396 0.1   5.0854 0.1 
  304 G3    3.2251 0.1   8.3348 0.1 
  323 G1    4.3867 0.1   3.0830 0.1 
    8 R     6.8042 0.1   2.5217 0.1 
  350 G2    6.3006 0.1   5.3993 0.1 
  160 G3    2.7972 0.1   6.7446 0.1 
  120 G2    8.5693 0.1   5.0148 0.1 
  227 G3    2.0902 0.1   6.6884 0.1 
  232 G2    7.3965 0.1   4.6136 0.1 
   25 G2    6.6072 0.1   5.4813 0.1 
  234 G3    3.8374 0.1   9.2391 0.1 
   77 G1    3.0446 0.1   3.3267 0.1 
  122 R     2.9808 0.1   5.5394 0.1 
  476 R     6.1280 0.1   9.1139 0.1 
  348 G3    2.8550 0.1   7.9862 0.1 
  146 R     8.3937 0.1   4.9839 0.1 
  202 G1    2.5636 0.1   2.5607 0.1 
  368 R     7.6445 0.1   1.1603 0.1 
  391 R     9.7781 0.1   6.6469 0.1 
  381 R     7.7783 0.1   0.6279 0.1 
  359 G1    3.2978 0.1   3.1942 0.1 
  110 R     8.2748 0.1   4.3903 0.1 
  306 R     1.7844 0.1   3.3407 0.1 
  257 G2    7.2663 0.1   5.5714 0.1 
  170 G1    2.7777 0.1   2.7557 0.1 
  445 G3    2.7195 0.1   7.4854 0.1 
   21 G1    3.0665 0.1   3.5318 0.1 
  379 G3    3.7429 0.1   7.7329 0.1 
  388 R     2.2112 0.1   2.7596 0.1 
  470 G2    9.0323 0.1   4.0902 0.1 
  166 R     5.0421 0.1   9.4888 0.1 
  211 G1    3.9039 0.1   2.9836 0.1 
  193 R     1.9938 0.1   2.3755 0.1 
   77 R     7.1161 0.1   2.7342 0.1 
  167 G3    2.9158 0.1   7.6151 0.1 
  434 G2    6.4504 0.1   5.2228 0.1 
  334 G2    5.9628 0.1   4.5820 0.1 
  417 G3    3.3921 0.1   8.2006 0.1 
   82 R     1.6863 0.1   0.2358 0.1 
  264 G3    3.2927 0.1   8.4257 0.1 
  280 G1    2.8037 0.1   3.0684 0.1 
  135 G3    2.5617 0.1   7.9369 0.1 
   33 G1    3.2789 0.1   2.8546 0.1 
  192 G2    6.9344 0.1   5.2369 0.1 
  197 R     2.6727 0.1   0.2047 0.1 
  168 G2    5.6997 0.1   5.7871 0.1 
  351 G3    2.8932 0.1   7.9005 0.1 
   52 G1    2.7174 0.1   3.1090 0.1 
  149 G2    6.4463 0.1   4.0767 0.1 
  127 G3    2.0503 0.1   7.3033 0.1 
   27 G1    3.4238 0.1   2.8030 0.1 
  363 R     1.7380 0.1   6.1540 0.1 
  431 R     9.2655 0.1   4.7615 0.1 
  150 G2    7.3814 0.1   7.0371 0.1 
  322 G2    6.6223 0.1   4.7092 0.1 
    7 G1    2.9252 0.1   3.0363 0.1 
  356 R     7.0302 0.1   4.6445 0.1 
  254 G1    2.2307 0.1   2.9409 0.1 
   74 G1    2.9243 0.1   3.2551 0.1 
  156 G2    7.1723 0.1   4.7373 0.1 
  472 G2    7.5501 0.1   4.4881 0.1 
  394 G3    1.9849 0.1   7.0259 0.1 
  158 G2    5.9614 0.1   5.8472 0.1 
  452 R     3.8448 0.1   5.3278 0.1 
  161 G2    7.4724 0.1   5.2833 0.1 
  365 R     8.6167 0.1   3.7759 0.1 
  165 R     9.1279 0.1   6.3046 0.1 
  444 G3    2.3974 0.1   7.3792 0.1 
  269 G2    6.6627 0.1   5.2459 0.1 
  136 G3    3.3049 0.1   8.5812 0.1 
   23 R     6.8710 0.1   8.8439 0.1 
   54 G2    6.7838 0.1   5.1095 0.1 
  149 G1    3.5522 0.1   2.6002 0.1 
  286 G2    6.6463 0.1   4.9162 0.1 
  404 G3    4.5232 0.1   9.1905 0.1 
  364 G3    3.0909 0.1   8.4034 0.1 
  100 G1    3.0610 0.1   3.3099 0.1 
  155 R     2.7217 0.1   8.5431 0.1 
  182 G2    6.3268 0.1   5.4894 0.1 
    3 G3    2.5129 0.1   7.1463 0.1 
  424 R     3.4961 0.1   2.1071 0.1 
   45 G2    8.3388 0.1   4.7266 0.1 
  219 R     8.1293 0.1   4.4686 0.1 
  140 R     0.4848 0.1   5.9398 0.1 
  110 G3    4.1788 0.1   9.0434 0.1 
  259 G2    7.8163 0.1   4.0526 0.1 
